Cluster1	*	*	*	*	*	*	*	*	*	*	*	*
-	-	-	-	-	-	-	-	-	-	-	-	-
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	309	30.5637982196	2.1891571637699996e-37	NM_016141, NM_001300764, NM_001002926, NM_031372, NM_001330727, NM_016001, NM_001320594, NM_002592, NM_001289797, NM_017906, NM_001134999, NM_002874, NM_001516, NM_015895, NM_001321571, NM_001514, NM_001079559, NM_003630, NM_003348, NM_001077188, NM_006196, NM_016132, NM_145341, NM_021067, NM_001168331, NM_007043, NM_031287, NM_005085, NM_001007026, NM_058216, NM_001257293, NM_006335, NM_003338, NM_002799, NM_001003676, NM_001135752, NM_001303448, NM_002794, NM_002696, NM_002695, NM_032336, NM_030917, NM_015384, NM_001102398, NM_001809, NM_139215, NM_003095, NM_012175, NM_003093, NM_022909, NM_032236, NM_001282604, NM_003130, NM_003860, NM_018685, NM_002268, NM_000108, NM_001127322, NM_182961, NM_001099402, NM_006597, NM_031266, NM_006305, NM_058243, NM_006888, NM_006312, NM_004502, NM_004336, NM_032120, NM_006600, NM_002790, NM_001198525, NM_006083, NM_003315, NM_004507, NM_002793, NM_000118, NM_002480, NM_001199163, NM_006833, NM_001145777, NM_001310326, NM_003203, NM_182976, NM_001130862, NM_020961, NM_012394, NM_005381, NM_015906, NM_016520, NM_153207, NM_014712, NM_015562, NM_001256910, NM_001142502, NM_016038, NM_001318240, NM_003483, NM_016037, NM_031243, NM_007212, NM_001142798, NM_032341, NM_001198783, NM_138714, NM_001628, NM_001320687, NM_014901, NM_002264, NM_002265, NM_052951, NM_015939, NM_004630, NM_015938, NM_006166, NM_006425, NM_001320973, NM_001201536, NM_024831, NM_194259, NM_006665, NM_006857, NM_000346, NM_006565, NM_015409, NM_006660, NM_003047, NM_001034194, NM_001271779, NM_016169, NM_001308116, NM_016060, NM_020706, NM_021038, NM_005877, NM_006265, NM_138408, NM_020699, NM_015965, NM_001236, NM_021177, NM_006559, NM_001237, NM_172373, NM_033082, NM_181352, NM_001308007, NM_001145928, NM_001105214, NM_003359, NM_006743, NM_001288726, NM_178578, NM_015918, NM_001101, NM_031370, NM_013242, NM_006256, NM_006356, NM_012082, NM_024811, NM_001320910, NM_206825, NM_012086, NM_138336, NM_006527, NM_001318012, NM_000700, NM_006015, NM_016333, NM_005915, NM_001318844, NM_020143, NM_002709, NM_002505, NM_001688, NM_006530, NM_001159677, NM_001291476, NM_006938, NM_025160, NM_145901, NM_001201362, NM_001071, NM_002105, NM_002915, NM_054016, NM_002717, NM_005920, NM_001114091, NM_001530, NM_014740, NM_005171, NM_001990, NM_032390, NM_017969, NM_001039697, NM_001024674, NM_002140, NM_001206841, NM_001267045, NM_007124, NM_001305626, NM_003799, NM_001320329, NM_000454, NM_001002244, NM_032286, NM_032288, NM_020338, NM_012238, NM_014753, NM_001024688, NM_032796, NM_005659, NM_002129, NM_022474, NM_024529, NM_002737, NM_005850, NM_001304349, NM_007274, NM_001293, NM_001330663, NM_033238, NM_018983, NM_005455, NM_002947, NM_005645, NM_000946, NM_001145306, NM_001330454, NM_194071, NM_018944, NM_001201338, NM_001019, NM_003925, NM_002807, NM_001012, NM_014463, NM_002803, NM_207043, NM_021632, NM_007280, NM_005105, NM_015462, NM_032177, NM_021239, NM_005038, NM_001330309, NM_001277764, NM_017838, NM_005236, NM_014248, NM_001951, NM_031844, NM_005047, NM_005968, NM_001024, NM_014878, NM_012112, NM_002811, NM_022126, NM_176783, NM_014641, NM_004181, NM_017592, NM_014280, NM_005131, NM_012321, NM_001018104, NM_003165, NM_014649, NM_001320, NM_001322437, NM_015355, NM_001429, NM_016474, NM_001142353, NM_001184705, NM_172230, NM_005030, NM_018237, NM_001012267, NM_005324, NM_001330536, NM_004699, NM_001949, NM_007165, NM_004805, NM_005610, NM_022756, NM_002979, NM_001313893, NM_014077, NM_007375, NM_000937, NM_005805, NM_001104546, NM_016488, NM_001078166, NM_001419, NM_005016, NM_002577, NM_015891, NM_018158, NM_003168, NM_018343, NM_145690	978	2662	16912	2.00727346476	1.55211242911e-34	1.55211242911e-34	3.3070293450000002e-34
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	292	28.8822947577	2.19508602795e-30	NM_001711, NM_006486, NM_016140, NM_001195736, NM_002294, NM_002489, NM_031372, NM_001330727, NM_001303047, NM_005339, NM_003255, NM_002592, NM_003254, NM_002593, NM_001289797, NM_001286272, NM_005340, NM_002389, NM_000271, NM_017520, NM_001001973, NM_003348, NM_001077188, NM_006196, NM_000610, NM_006476, NM_001168331, NM_003342, NM_031286, NM_002668, NM_005347, NM_021999, NM_004094, NM_177924, NM_004356, NM_017670, NM_016126, NM_001251830, NM_032731, NM_002799, NM_002794, NM_002074, NM_001306147, NM_018126, NM_001278199, NM_015384, NM_002069, NM_000100, NM_001008491, NM_006713, NM_001282604, NM_003130, NM_003860, NM_002268, NM_004708, NM_021970, NM_001258438, NM_006496, NM_006493, NM_176869, NM_001242607, NM_000636, NM_001004, NM_006597, NM_138635, NM_053024, NM_006888, NM_004343, NM_015994, NM_006310, NM_006606, NM_006088, NM_002790, NM_003315, NM_006990, NM_002793, NM_001199163, NM_005470, NM_003870, NM_006833, NM_001145777, NM_003104, NM_003878, NM_001174097, NM_001777, NM_019554, NM_007104, NM_018290, NM_012394, NM_005381, NM_013341, NM_005857, NM_001256510, NM_006055, NM_012098, NM_004308, NM_053041, NM_001002296, NM_173542, NM_031243, NM_001313943, NM_001146214, NM_016406, NM_006826, NM_001129819, NM_001628, NM_002265, NM_018890, NM_001762, NM_002768, NM_001206651, NM_001792, NM_012399, NM_182752, NM_005765, NM_032208, NM_016410, NM_004888, NM_001281297, NM_003047, NM_002375, NM_001271779, NM_001034194, NM_176812, NM_006761, NM_006754, NM_006178, NM_012479, NM_001206541, NM_006861, NM_006556, NM_015965, NM_000143, NM_001746, NM_016059, NM_006452, NM_017510, NM_003359, NM_001287343, NM_031370, NM_001101, NM_013242, NM_001497, NM_006356, NM_001037494, NM_001398, NM_001130849, NM_001199815, NM_001349, NM_004162, NM_152305, NM_004161, NM_000700, NM_020532, NM_019034, NM_014624, NM_001162429, NM_006288, NM_013232, NM_001105206, NM_000310, NM_005917, NM_015423, NM_002709, NM_005402, NM_001688, NM_030978, NM_001144944, NM_017887, NM_005721, NM_058179, NM_018462, NM_001333, NM_018464, NM_002105, NM_002106, NM_001331017, NM_001850, NM_002715, NM_004664, NM_001677, NM_001539, NM_001679, NM_001242673, NM_020865, NM_004663, NM_001039690, NM_006135, NM_014604, NM_002140, NM_001144822, NM_007124, NM_006793, NM_006915, NM_001305626, NM_016308, NM_001078, NM_000194, NM_001252039, NM_001320329, NM_000454, NM_001318927, NM_138444, NM_003795, NM_001008530, NM_025146, NM_004134, NM_001185077, NM_004130, NM_001660, NM_032796, NM_001039091, NM_022474, NM_002737, NM_001304349, NM_001150, NM_004786, NM_020139, NM_007274, NM_001970, NM_001144939, NM_001442, NM_001304, NM_004539, NM_003404, NM_005507, NM_018206, NM_001270952, NM_001256410, NM_001019, NM_002807, NM_001012, NM_001290184, NM_001286043, NM_001256012, NM_001202858, NM_003290, NM_004528, NM_032013, NM_024591, NM_001321743, NM_001142368, NM_001277764, NM_005968, NM_018221, NM_018362, NM_002154, NM_002811, NM_004255, NM_176783, NM_004048, NM_004181, NM_001145454, NM_001177, NM_003165, NM_014649, NM_001320, NM_001265589, NM_001277224, NM_001113203, NM_001114752, NM_001031689, NM_004184, NM_005324, NM_001943, NM_001193523, NM_004283, NM_001183, NM_001182, NM_001024948, NM_024667, NM_001415, NM_002979, NM_005805, NM_001270439, NM_016485, NM_001078166, NM_005016, NM_014999, NM_003979, NM_001046, NM_005313, NM_005022, NM_018246, NM_014367, NM_001291303, NM_001933, NM_018340, NM_001695, NM_001694, NM_145690, NM_001696	978	2666	16912	1.8939949711400001	1.5563159938199998e-27	7.78157996908e-28	3.315985727e-27
GOTERM_CC_DIRECT	GO:0005829~cytosol	302	29.8714144411	1.1112165057499999e-21	NM_001195736, NM_024348, NM_001330727, NM_177401, NM_001303047, NM_002395, NM_001320594, NM_001289797, NM_001134999, NM_015895, NM_001321571, NM_001330351, NM_003630, NM_003348, NM_003136, NM_145341, NM_002497, NM_001330069, NM_080677, NM_005085, NM_001172646, NM_001301227, NM_004094, NM_001042549, NM_001007024, NM_006729, NM_003750, NM_003336, NM_003338, NM_001099791, NM_032731, NM_006216, NM_002799, NM_001303448, NM_002794, NM_014028, NM_002074, NM_001102396, NM_001134779, NM_002695, NM_004331, NM_001278199, NM_003099, NM_005775, NM_001809, NM_003095, NM_012175, NM_022909, NM_001282604, NM_003130, NM_003860, NM_002268, NM_004708, NM_004707, NM_001258438, NM_006493, NM_001137552, NM_001004, NM_006597, NM_006888, NM_004343, NM_014426, NM_015994, NM_004336, NM_006310, NM_006600, NM_006088, NM_002790, NM_003315, NM_004507, NM_006990, NM_002793, NM_016106, NM_001199163, NM_005470, NM_002480, NM_003870, NM_138335, NM_003201, NM_003104, NM_003878, NM_001174097, NM_145803, NM_007104, NM_018290, NM_015905, NM_012197, NM_004308, NM_006571, NM_001313943, NM_006570, NM_006826, NM_004622, NM_001628, NM_001172567, NM_002264, NM_014302, NM_001127192, NM_002265, NM_018890, NM_001762, NM_005398, NM_002358, NM_016410, NM_001378, NM_024831, NM_004888, NM_194259, NM_015143, NM_002759, NM_001271779, NM_001034194, NM_016169, NM_176812, NM_006761, NM_006265, NM_006360, NM_006178, NM_012479, NM_001206541, NM_001033503, NM_006556, NM_001236, NM_021177, NM_006559, NM_000143, NM_006452, NM_001199917, NM_013236, NM_021930, NM_006947, NM_003359, NM_178578, NM_001287343, NM_031370, NM_001101, NM_006256, NM_001037494, NM_001130849, NM_001199815, NM_006546, NM_001276319, NM_021202, NM_001204199, NM_001349, NM_006527, NM_004162, NM_004781, NM_004161, NM_001318012, NM_001297576, NM_019034, NM_014624, NM_020675, NM_001162429, NM_006288, NM_004685, NM_000310, NM_005917, NM_015423, NM_020143, NM_002709, NM_001144944, NM_006938, NM_145901, NM_005721, NM_058179, NM_001199877, NM_018462, NM_001071, NM_206915, NM_001331017, NM_022170, NM_054016, NM_212471, NM_002715, NM_002717, NM_000561, NM_001291869, NM_001539, NM_001242673, NM_001286746, NM_024548, NM_001282394, NM_001114091, NM_002858, NM_018178, NM_001530, NM_020865, NM_014740, NM_004663, NM_006135, NM_014604, NM_004045, NM_001206841, NM_001267045, NM_006793, NM_001305626, NM_016308, NM_000194, NM_001320329, NM_000454, NM_001077394, NM_001318927, NM_003795, NM_001002244, NM_014230, NM_001185077, NM_004130, NM_001024688, NM_001660, NM_005659, NM_001655, NM_033138, NM_001271736, NM_006808, NM_002737, NM_001272069, NM_001304349, NM_001150, NM_020139, NM_002835, NM_007274, NM_001293, NM_001970, NM_001330663, NM_007278, NM_033238, NM_001442, NM_021249, NM_001324288, NM_001286974, NM_004539, NM_001145306, NM_003404, NM_018206, NM_001256410, NM_022346, NM_001019, NM_002061, NM_002807, NM_001012, NM_014463, NM_007285, NM_002803, NM_003968, NM_001256012, NM_001123355, NM_005105, NM_001969, NM_032177, NM_003290, NM_014445, NM_024591, NM_001317956, NM_001142368, NM_014248, NM_004397, NM_005047, NM_001024, NM_018221, NM_012112, NM_002154, NM_002811, NM_022126, NM_176783, NM_004181, NM_001330333, NM_001145454, NM_001177, NM_012321, NM_001018104, NM_003165, NM_031412, NM_001320, NM_001142353, NM_004184, NM_005030, NM_001012267, NM_001182, NM_020375, NM_001415, NM_001030006, NM_020376, NM_001130007, NM_139160, NM_016484, NM_005805, NM_001098512, NM_001270439, NM_016485, NM_024766, NM_001419, NM_005016, NM_001184985, NM_002577, NM_005022, NM_001695, NM_018343, NM_145690, NM_001696, NM_007178	978	3152	16912	1.65682580217	7.878525025760001e-19	2.6261750085900003e-19	1.6786485931599998e-18
GOTERM_CC_DIRECT	GO:0005730~nucleolus	112	11.078140455	6.708379533760001e-18	NM_001204199, NM_001243351, NM_001300764, NM_001002926, NM_177401, NM_016001, NM_004477, NM_017906, NM_020143, NM_002709, NM_001514, NM_205843, NM_012458, NM_001291476, NM_017520, NM_003348, NM_015014, NM_003136, NM_198486, NM_002497, NM_001071, NM_007043, NM_001333, NM_024098, NM_015523, NM_006729, NM_003750, NM_033107, NM_025065, NM_203298, NM_182640, NM_032390, NM_001134422, NM_015453, NM_016302, NM_014886, NM_139215, NM_000100, NM_001102398, NM_006713, NM_003799, NM_001008491, NM_001002244, NM_003659, NM_014230, NM_001127322, NM_004134, NM_014753, NM_012238, NM_001024688, NM_006597, NM_017816, NM_002129, NM_001190737, NM_006606, NM_032593, NM_006083, NM_004507, NM_001317975, NM_006706, NM_018983, NM_033238, NM_001282759, NM_005645, NM_003203, NM_014597, NM_145803, NM_012394, NM_007104, NM_005381, NM_013341, NM_018040, NM_001256910, NM_016038, NM_001159936, NM_016037, NM_015462, NM_005038, NM_052951, NM_017838, NM_001951, NM_004397, NM_005968, NM_015938, NM_014878, NM_016101, NM_080424, NM_024831, NM_015169, NM_006565, NM_001281297, NM_002374, NM_001099269, NM_015355, NM_001034194, NM_030755, NM_016359, NM_005030, NM_001012267, NM_015138, NM_001323623, NM_022756, NM_001308007, NM_014077, NM_000937, NM_014174, NM_012473, NM_006947, NM_006743, NM_206825, NM_012086, NM_001276319	978	815	16912	2.37638350459	4.7562410894399994e-15	1.1890602723599999e-15	1.01339494225e-14
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	138	13.649851632	3.23296137563e-13	NM_001204199, NM_002489, NM_001257134, NM_002395, NM_013386, NM_001008661, NM_146388, NM_194279, NM_005917, NM_017909, NM_001687, NM_001688, NM_012459, NM_012458, NM_012456, NM_001001973, NM_006476, NM_001168331, NM_014018, NM_001134493, NM_001071, NM_018464, NM_080677, NM_005347, NM_019080, NM_002715, NM_016071, NM_014402, NM_015523, NM_058216, NM_006335, NM_006729, NM_001539, NM_033107, NM_033109, NM_022735, NM_025136, NM_203298, NM_182640, NM_019059, NM_001301339, NM_004663, NM_004331, NM_000104, NM_006793, NM_152726, NM_015634, NM_000454, NM_032236, NM_003130, NM_003659, NM_000436, NM_000108, NM_003118, NM_004589, NM_000255, NM_004134, NM_080794, NM_012238, NM_001267864, NM_001320820, NM_000636, NM_017952, NM_001171155, NM_001270879, NM_002737, NM_001304349, NM_001272069, NM_032593, NM_016622, NM_020139, NM_004786, NM_007274, NM_025152, NM_003201, NM_004539, NM_003404, NM_001174097, NM_145803, NM_014765, NM_012394, NM_018206, NM_030934, NM_001019, NM_001143935, NM_001256510, NM_020409, NM_001329495, NM_001256012, NM_001286043, NM_001146214, NM_001129819, NM_006826, NM_001310338, NM_017841, NM_001206651, NM_004397, NM_001001924, NM_001079839, NM_022121, NM_016067, NM_006660, NM_003047, NM_025196, NM_003165, NM_001018104, NM_031412, NM_176818, NM_006761, NM_001184705, NM_017924, NM_080748, NM_012479, NM_004283, NM_006861, NM_001166108, NM_015965, NM_001182, NM_000143, NM_014170, NM_002979, NM_014077, NM_145212, NM_018238, NM_033281, NM_014175, NM_012473, NM_004374, NM_014367, NM_006356, NM_001037494, NM_022100, NM_001933, NM_001398, NM_001282437, NM_001276319, NM_001696, NM_145690	978	1269	16912	1.88050104667	2.29217533843e-10	4.584355117739999e-11	4.88387108533e-10
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	60	5.93471810089	1.9389215237599998e-12	NM_000700, NM_003404, NM_001162429, NM_006288, NM_005507, NM_007104, NM_001134999, NM_002709, NM_001012, NM_002389, NM_005402, NM_001290184, NM_030978, NM_001172895, NM_145901, NM_005578, NM_000610, NM_005721, NM_001313943, NM_003290, NM_006826, NM_005085, NM_004468, NM_001276471, NM_005347, NM_018890, NM_015523, NM_001792, NM_004356, NM_001113546, NM_004048, NM_014641, NM_003047, NM_001321, NM_006761, NM_002140, NM_012479, NM_005775, NM_005228, NM_001166108, NM_014230, NM_021970, NM_004134, NM_020992, NM_001004, NM_006597, NM_004343, NM_001270439, NM_005016, NM_014999, NM_001839, NM_005313, NM_005022, NM_001101, NM_002835, NM_000118, NM_002480, NM_001694, NM_003870, NM_145690	978	376	16912	2.7594308837	1.37467548456e-09	2.2911261776700002e-10	2.92896817911e-09
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	27	2.6706231454	2.1456278961900005e-12	NM_001303448, NM_014740, NM_004477, NM_016333, NM_001278926, NM_002140, NM_005877, NM_001318844, NM_014463, NM_001102398, NM_003095, NM_001159677, NM_006938, NM_005105, NM_021177, NM_007165, NM_031243, NM_016059, NM_015484, NM_016652, NM_001318000, NM_001078166, NM_001257293, NM_031844, NM_005968, NM_015891, NM_006425	978	88	16912	5.30563301729	1.5212424653300001e-09	2.1732038391100001e-10	3.24125171147e-09
GOTERM_CC_DIRECT	GO:0005913~cell-cell adherens junction	52	5.1434223541	1.52903872214e-11	NM_004161, NM_000700, NM_020532, NM_003404, NM_004738, NM_013341, NM_001142502, NM_004308, NM_007245, NM_015055, NM_001969, NM_006196, NM_005347, NM_022170, NM_001206651, NM_001792, NM_004397, NM_001113546, NM_016410, NM_001277224, NM_005783, NM_006135, NM_006761, NM_176812, NM_002140, NM_001278199, NM_003099, NM_005228, NM_001008491, NM_001206541, NM_018685, NM_001024948, NM_001415, NM_001137552, NM_006452, NM_020992, NM_006597, NM_003574, NM_003979, NM_014426, NM_001839, NM_033138, NM_002577, NM_007271, NM_006600, NM_005022, NM_006256, NM_006990, NM_005470, NM_001258376, NM_003870, NM_145690	978	313	16912	2.87286435772	1.08409187183e-08	1.35511479815e-09	2.30983454585e-08
GOTERM_CC_DIRECT	GO:0005634~nucleus	391	38.6745796241	1.7094321267e-11	NM_025069, NM_016001, NM_005339, NM_002592, NM_001286272, NM_001134999, NM_005340, NM_015895, NM_001514, NM_205843, NM_017520, NM_001079559, NM_016132, NM_145341, NM_001330069, NM_002497, NM_007043, NM_080677, NM_005085, NM_024098, NM_001172646, NM_005347, NM_001007026, NM_001257293, NM_058216, NM_001042549, NM_017670, NM_001277313, NM_001135752, NM_005783, NM_005775, NM_001809, NM_139215, NM_024967, NM_001282604, NM_001127322, NM_182961, NM_006597, NM_006305, NM_138386, NM_058243, NM_004343, NM_006312, NM_006310, NM_001198525, NM_016836, NM_005470, NM_001172438, NM_001310326, NM_001282759, NM_138335, NM_182976, NM_019554, NM_001278926, NM_007104, NM_005381, NM_153207, NM_032864, NM_016038, NM_005578, NM_007212, NM_006570, NM_001198851, NM_001198783, NM_001172567, NM_002264, NM_052951, NM_020310, NM_001297598, NM_001320973, NM_006425, NM_001001924, NM_002358, NM_016410, NM_002357, NM_024831, NM_006565, NM_000346, NM_025196, NM_001099269, NM_001034194, NM_016169, NM_001308116, NM_016359, NM_176812, NM_001237, NM_006559, NM_033082, NM_181352, NM_001308007, NM_020714, NM_006256, NM_024811, NM_001320910, NM_138336, NM_001258376, NM_006546, NM_021202, NM_001243351, NM_002013, NM_014624, NM_005915, NM_020143, NM_002709, NM_002505, NM_001330698, NM_001201362, NM_002317, NM_001071, NM_002105, NM_206915, NM_002106, NM_054016, NM_002715, NM_015523, NM_005920, NM_001114091, NM_005171, NM_001990, NM_001178032, NM_014604, NM_002140, NM_001267045, NM_014886, NM_152726, NM_001305626, NM_000454, NM_014755, NM_014753, NM_001267864, NM_002129, NM_001190737, NM_007271, NM_001304349, NM_001293, NM_001970, NM_001330663, NM_001012426, NM_033238, NM_018983, NM_002947, NM_021249, NM_014763, NM_001145306, NM_014764, NM_194071, NM_001270952, NM_018944, NM_001201338, NM_022346, NM_003925, NM_002807, NM_001012, NM_003968, NM_002803, NM_001286043, NM_181527, NM_001256012, NM_001329495, NM_021632, NM_005105, NM_007280, NM_015055, NM_001969, NM_015462, NM_032177, NM_005038, NM_014779, NM_005236, NM_001951, NM_031844, NM_001037637, NM_002811, NM_080424, NM_022126, NM_001958, NM_014641, NM_005131, NM_001330333, NM_014649, NM_001322437, NM_015355, NM_001113203, NM_005030, NM_001012267, NM_005228, NM_001949, NM_001182, NM_007165, NM_020375, NM_007375, NM_014077, NM_015484, NM_005805, NM_001330327, NM_001104546, NM_014174, NM_005016, NM_005022, NM_018158, NM_003168, NM_001933, NM_014660, NM_007178, NM_145690, NM_001002926, NM_031372, NM_001330727, NM_002874, NM_001321571, NM_206855, NM_003348, NM_015014, NM_003136, NM_021067, NM_031287, NM_031286, NM_004094, NM_145716, NM_003750, NM_198390, NM_001042697, NM_001142761, NM_002799, NM_024321, NM_001303448, NM_014028, NM_002794, NM_001301339, NM_182645, NM_002696, NM_002695, NM_032336, NM_002069, NM_015384, NM_006713, NM_001008491, NM_022841, NM_022909, NM_003860, NM_004708, NM_001137552, NM_203342, NM_015190, NM_001099402, NM_031266, NM_138635, NM_017816, NM_001083962, NM_006888, NM_004502, NM_006606, NM_006088, NM_006083, NM_002790, NM_004507, NM_002793, NM_001199163, NM_006706, NM_003870, NM_003203, NM_003201, NM_003878, NM_145803, NM_001130862, NM_020961, NM_003108, NM_012394, NM_015906, NM_015905, NM_001256510, NM_014712, NM_001256910, NM_001142502, NM_001318240, NM_001159936, NM_031243, NM_003483, NM_004622, NM_138714, NM_001320687, NM_001127192, NM_018890, NM_006965, NM_004630, NM_015938, NM_006166, NM_001201536, NM_015169, NM_194259, NM_006665, NM_000522, NM_001281297, NM_015143, NM_002759, NM_021038, NM_001166108, NM_001323623, NM_004890, NM_172373, NM_001105214, NM_003359, NM_006743, NM_031370, NM_012082, NM_001037494, NM_206825, NM_001282437, NM_012086, NM_006528, NM_006010, NM_001204199, NM_024292, NM_006527, NM_001318012, NM_000700, NM_006015, NM_020675, NM_013232, NM_000310, NM_001318844, NM_001688, NM_001159677, NM_001291476, NM_006938, NM_145901, NM_017885, NM_001199877, NM_004468, NM_001539, NM_001291869, NM_001080508, NM_001530, NM_020865, NM_001010844, NM_203298, NM_017969, NM_001039697, NM_001039690, NM_016302, NM_133452, NM_016308, NM_003799, NM_012231, NM_203288, NM_001185077, NM_012238, NM_001024688, NM_005659, NM_019042, NM_024529, NM_004786, NM_001317975, NM_005455, NM_001442, NM_005645, NM_014597, NM_001304, NM_003404, NM_005507, NM_030934, NM_014463, NM_012102, NM_012311, NM_001277764, NM_004397, NM_012112, NM_001007559, NM_016101, NM_001146171, NM_001320, NM_001321, NM_016474, NM_001429, NM_001031689, NM_004184, NM_001317034, NM_005324, NM_004699, NM_004805, NM_005610, NM_001415, NM_001313893, NM_000937, NM_183013, NM_001078166, NM_024766, NM_001419, NM_005313, NM_014369, NM_012135	978	5107	16912	1.32393607074	1.21198769909e-08	1.34665301132e-09	2.5823376770299997e-08
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	375	37.0919881306	2.2994507546099998e-10	NM_001711, NM_016141, NM_016140, NM_001195736, NM_025069, NM_031372, NM_005339, NM_201263, NM_001320594, NM_002592, NM_006342, NM_001289797, NM_001286272, NM_001134999, NM_005340, NM_002874, NM_015895, NM_001321571, NM_206855, NM_017520, NM_003348, NM_006196, NM_016132, NM_003136, NM_145341, NM_000610, NM_002497, NM_001330069, NM_021067, NM_003342, NM_007043, NM_138363, NM_031286, NM_001276471, NM_016652, NM_172070, NM_004094, NM_001007026, NM_058216, NM_001257293, NM_001324318, NM_003750, NM_017670, NM_198390, NM_033109, NM_003336, NM_003338, NM_001277313, NM_001142761, NM_002799, NM_024321, NM_001135752, NM_002794, NM_014028, NM_182645, NM_005783, NM_001306147, NM_032336, NM_199360, NM_001278199, NM_019106, NM_002069, NM_003099, NM_001281439, NM_000100, NM_139215, NM_001008491, NM_012175, NM_001282604, NM_032236, NM_003130, NM_003860, NM_004708, NM_004707, NM_003118, NM_001258438, NM_006496, NM_182961, NM_176869, NM_001242607, NM_015190, NM_203342, NM_001137552, NM_001143827, NM_017811, NM_031266, NM_006305, NM_138386, NM_004343, NM_006888, NM_058243, NM_053024, NM_004502, NM_006606, NM_004336, NM_006600, NM_002790, NM_001198525, NM_003315, NM_002793, NM_000118, NM_002480, NM_005470, NM_001199163, NM_003314, NM_003870, NM_001172438, NM_006833, NM_001310326, NM_138335, NM_001174097, NM_145803, NM_004738, NM_003108, NM_007104, NM_012394, NM_014911, NM_014819, NM_016520, NM_013341, NM_006055, NM_004308, NM_001142502, NM_006387, NM_016038, NM_005578, NM_016037, NM_031243, NM_006570, NM_001142798, NM_001146214, NM_032341, NM_016406, NM_006826, NM_001129819, NM_138714, NM_001628, NM_001172567, NM_014901, NM_002264, NM_002265, NM_018890, NM_001762, NM_001206651, NM_001792, NM_015938, NM_006425, NM_001320973, NM_001113546, NM_001378, NM_003794, NM_024831, NM_194259, NM_001321513, NM_001281297, NM_015143, NM_006660, NM_003047, NM_002374, NM_002759, NM_002375, NM_001034194, NM_016169, NM_016359, NM_176812, NM_021038, NM_006178, NM_001206541, NM_001166108, NM_006556, NM_015965, NM_020806, NM_001236, NM_001237, NM_000143, NM_181352, NM_020992, NM_006452, NM_001282337, NM_013236, NM_006947, NM_006743, NM_001288726, NM_001101, NM_006256, NM_006356, NM_012082, NM_001037494, NM_138336, NM_006546, NM_001276319, NM_001204199, NM_001349, NM_001243351, NM_006527, NM_024292, NM_004162, NM_004782, NM_000700, NM_020443, NM_014624, NM_001162429, NM_013232, NM_152902, NM_004685, NM_001318844, NM_005917, NM_030978, NM_018704, NM_007247, NM_007245, NM_025160, NM_001201362, NM_017885, NM_058179, NM_001167942, NM_001071, NM_001331017, NM_054016, NM_019080, NM_212471, NM_000561, NM_001291869, NM_001242673, NM_024548, NM_005920, NM_001114093, NM_001282394, NM_001114091, NM_001530, NM_020865, NM_001010844, NM_203298, NM_004598, NM_014607, NM_014740, NM_001990, NM_178335, NM_018477, NM_032390, NM_030815, NM_001178032, NM_001134422, NM_014604, NM_015453, NM_002140, NM_016302, NM_001267045, NM_007124, NM_006793, NM_133452, NM_016308, NM_006915, NM_001305626, NM_000194, NM_001320329, NM_000454, NM_003795, NM_014230, NM_203288, NM_020338, NM_014755, NM_004134, NM_025146, NM_001185077, NM_012238, NM_032796, NM_002129, NM_022474, NM_024529, NM_001655, NM_002737, NM_007271, NM_020139, NM_004786, NM_002835, NM_007274, NM_001293, NM_001970, NM_001330663, NM_033238, NM_001442, NM_021249, NM_004539, NM_001145306, NM_003404, NM_014764, NM_005507, NM_001270952, NM_018944, NM_001271904, NM_022346, NM_001019, NM_001012, NM_007285, NM_002803, NM_001329495, NM_207043, NM_181527, NM_001256012, NM_015055, NM_007280, NM_005105, NM_001969, NM_012311, NM_021239, NM_032013, NM_005038, NM_014779, NM_001330309, NM_001142368, NM_001329755, NM_001277764, NM_017838, NM_024790, NM_001951, NM_004397, NM_001024, NM_018362, NM_001037637, NM_016101, NM_032182, NM_022126, NM_001958, NM_176783, NM_004048, NM_001287801, NM_004181, NM_014280, NM_001145454, NM_005131, NM_001177, NM_001018104, NM_003165, NM_014649, NM_001320, NM_001113203, NM_001429, NM_001031689, NM_004184, NM_001184705, NM_005030, NM_005228, NM_001193523, NM_001949, NM_001182, NM_001024948, NM_022756, NM_020375, NM_024667, NM_001415, NM_020374, NM_002979, NM_020376, NM_007375, NM_183013, NM_014174, NM_016488, NM_001098512, NM_001270439, NM_019006, NM_001078166, NM_001419, NM_005016, NM_001184985, NM_001839, NM_002577, NM_005022, NM_018158, NM_014367, NM_001319157, NM_014369, NM_018340, NM_007178, NM_145690	978	4942	16912	1.31215349589	1.63031036338e-07	1.63031048661e-08	3.4736431509e-07
-	-	-	-	-	-	-	-	-	-	-	-	-
